cliente_id,nome,cidade 
1,Melissa  Carvalho ,Cáceres
2,Giovanni Pietro Rocha Henriques,Rio Fortuna
3,Luciana Bruna Carvalho ,Ibipeba
4,Giovana Lara Duarte ,União
5,Melissa  Lopes ,Camacho
6,Beatriz Michele Santos Andrade,Salvador
7,Juliana  Pereira ,Manaus
8,Ulisses  Macedo Rossi,Bonfinópolis de Minas
9,Carla  Peixoto ,Borrazópolis
10,Bianca  Dias ,Santa Cruz do Escalvado
11,Luciana Amanda Ortega Carvalho,Douradoquara
12,Wesliane  Jardim Castro,São José do Cerrito
13,Rodrigo Karen Santos Mansur,Matias Barbosa
14,Rebeca Andressa Souza Franco,Lavínia
15,Rayssa Renata Pereira Silva,Unaí
16,Noel Ulisses Borges Neves,Gurinhatã
17,Enzo Daniel Rangel ,Taió
18,Juliana Ornella Magalhães ,Governador Eugênio Barros
19,Letícia  Rezende Carvalho,Monte Alegre do Sul
20,Raul  Costa Melo,Frei Miguelinho
21,Yuri Leonardo Lacerda Henriques,Cacimbas
22,Yara  Monteiro ,Porto Alegre do Piauí
23,Úrsula  Siqueira Figueiredo,Gameleira de Goiás
24,Maurício Augusto Araújo ,Novo Santo Antônio
25,Geovana Aliani Rossi ,Alpercata
26,Roberto  Freitas ,Manaus
27,Kleber Noel Aguiar ,Fartura
28,Benício  Marques ,Benjamin Constant
29,Noel  Viana Camargo,Marapoama
30,Ágatha Thalita Xavier Cavalcante,Sumaré
31,Ian Otávio Sampaio Teixeira,Campo Novo do Parecis
32,Flávio  Drummond ,Itatiba do Sul
33,Orlando Patrick Cordeiro Martins,Iguatama
34,Dominic  Guimarães ,Arvorezinha
35,Maria  Ribeiro Borges,Xinguara
36,Juliana  Pimentel Rezende,Brasília
37,Rita Carla Borges Siqueira,Junco do Maranhão
38,Queila  Almeida Barbosa,Alto Longá
39,Giovanni Roberto Batista Rangel,Imbituva
40,Viviane  Monteiro ,Maximiliano de Almeida
41,Lucas  Meireles Pimentel,Vila Flores
42,Renato  Moraes Cabral,Lavandeira
43,Gabriel Davi Henriques ,Bandeirante
44,Rafael  Moura Pimentel,São Mateus do Maranhão
45,Allan Tadeu Aguiar ,Fonte Boa
46,Cristiane Amanda Magalhães ,Fortaleza de Minas
47,Quitéria  Meireles ,Pium
48,Eduarda Camila Machado ,Itatiba
49,Luiz Ricardo Martins ,Monteiro Lobato
50,Suelen  Rossi ,Lagoa do Mato
51,André Marcelo Santos Espíndola,Manoel Urbano
52,Dominic Orlando Pimentel Martins,Nova Guarita
53,Hadassa  Duarte Lins,Bananeiras
54,Bárbara  Jardim ,Lajedo do Tabocal
55,Moacir  Miranda Rocha,São Simão
56,Cristiano Noel Coelho ,Sussuapara
57,Benício Marcos Klein ,Carnaubal
58,Rian  Ibiapina ,Ceará-Mirim
59,Jonas  Freitas ,Maturéia
60,Bernardo Rafael Meireles ,Altamira do Paraná
61,Pablo  Monteiro ,Araçariguama
62,Manoel Estevão Santos Domingues,Consolação
63,Sebastião  Espíndola ,Nazaré Paulista
64,Dominic  Henriques ,Santana de Mangueira
65,Maurício  Mansur Guimarães,Itaúna
66,Rian  Martins ,Castro
67,Samuel Carlos Duarte ,Tailândia
68,Simone Zara Miranda Assis,Arapoti
69,Daniel  Dantas Figueiredo,Lutécia
70,Giovana Helena Castro ,São José
71,Manuela  Gusmão ,São Gonçalo do Sapucaí
72,Sebastião Heitor Dias Duarte,Santo Estêvão
73,Murilo Emanuelle Bezerra Franco,Fortaleza
74,Cláudio  Paiva ,Caiçara
